value,group,species
6.27E+08,ESL0185,species1
3.67E+08,ESL0185,species1
6.95E+08,ESL0185,species1
2.30E+08,ESL0185,species1
5.14E+08,ESL0185,species1
6.10E+08,ESL0185,species1
3.74E+08,ESL0185,species1
6.27E+08,ESL0185,species1
5.65E+08,ESL0185,species1
8.63E+08,ESL0185,species1
1.40E+08,ESL0263,species1
1.30E+08,ESL0263,species1
4.01E+08,ESL0263,species1
2.50E+08,ESL0263,species1
2.29E+08,ESL0263,species1
1.99E+08,ESL0263,species1
4.90E+08,ESL0263,species1
5.17E+08,ESL0263,species1
4.11E+08,ESL0263,species1
6.34E+08,ESL0263,species1
1.94E+09,ESL0353,species1
1.21E+09,ESL0353,species1
9.10E+08,ESL0353,species1
1.13E+09,ESL0353,species1
8.66E+08,ESL0353,species1
8.05E+08,ESL0353,species1
8.53E+08,ESL0353,species1
6.37E+08,ESL0353,species1
5.72E+08,ESL0353,species1
1.03E+08,ESL0353,species1
5.99E+08,ESL0183,species2
3.15E+08,ESL0183,species2
3.73E+08,ESL0183,species2
4.79E+08,ESL0183,species2
4.38E+08,ESL0183,species2
4.11E+08,ESL0183,species2
6.17E+08,ESL0183,species2
4.01E+08,ESL0183,species2
5.45E+08,ESL0183,species2
8.60E+08,ESL0183,species2
5.80E+09,ESL0354,species2
3.52E+09,ESL0354,species2
1.30E+09,ESL0354,species2
9.69E+08,ESL0354,species2
2.41E+09,ESL0354,species2
3.33E+09,ESL0354,species2
5.54E+09,ESL0354,species2
1.55E+09,ESL0354,species2
1.21E+09,ESL0354,species2
5.93E+09,ESL0354,species2
1.58E+08,wkb8,species2
7.71E+08,wkb8,species2
5.90E+08,wkb8,species2
8.66E+08,wkb8,species2
6.95E+08,wkb8,species2
3.60E+08,wkb8,species2
7.43E+08,wkb8,species2
9.21E+08,wkb8,species2
7.64E+08,wkb8,species2
630270000,wkb8,species2
411090000,ESL0184,species3
171330000,ESL0184,species3
198770000,ESL0184,species3
133600000,ESL0184,species3
462200000,ESL0184,species3
1.23E+08,ESL0184,species3
133600000,ESL0184,species3
53428000,ESL0184,species3
1.20E+08,ESL0184,species3
5.17E+08,ESL0260,species3
1.44E+08,ESL0260,species3
3.84E+08,ESL0260,species3
3.80E+08,ESL0260,species3
9.59E+08,ESL0260,species3
8.39E+08,ESL0260,species3
8.42E+08,ESL0260,species3
4.35E+08,ESL0260,species3
1.13E+09,ESL0260,species3
4.80E+08,ESL0350,species3
9.21E+08,ESL0350,species3
5.10E+08,ESL0350,species3
5.38E+08,ESL0350,species3
3.12E+08,ESL0350,species3
3.26E+08,ESL0350,species3
2.91E+08,ESL0350,species3
4.39E+08,ESL0350,species3
4.11E+08,ESL0350,species3
184880000,ESL0350,species3
862830000,ESL0186,species4
322250000,ESL0186,species4
4.56E+08,ESL0186,species4
609520000,ESL0186,species4
1065030000,ESL0186,species4
548120000,ESL0186,species4
6.92E+08,ESL0186,species4
356380000,ESL0261,species4
5.03E+08,ESL0261,species4
479520000,ESL0261,species4
3.87E+08,ESL0261,species4
370100000,ESL0261,species4
3.94E+08,ESL0261,species4
613120000,ESL0261,species4
5.86E+08,ESL0261,species4
626840000,ESL0261,species4
5.79E+08,ESL0261,species4
3780000000,ESL0351,species4
9.56E+08,ESL0351,species4
1130030000,ESL0351,species4
1.04E+09,ESL0351,species4
921140000,ESL0351,species4
1.40E+09,ESL0351,species4
961960000,ESL0351,species4
1.06E+09,ESL0351,species4
1.28E+09,ESL0351,species4
9.59E+08,ESL0351,species4
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
