Sample	group	SDP
4_1	ESL0185	SDP1
4_2	ESL0185	SDP1
4_3	ESL0185	SDP1
4_4	ESL0185	SDP1
4_5	ESL0185	SDP1
4_6	ESL0185	SDP1
4_7	ESL0185	SDP1
4_8	ESL0185	SDP1
4_9	ESL0185	SDP1
8_1	ESL0263	SDP1
8_10	ESL0263	SDP1
8_2	ESL0263	SDP1
8_3	ESL0263	SDP1
8_4	ESL0263	SDP1
8_5	ESL0263	SDP1
8_6	ESL0263	SDP1
8_7	ESL0263	SDP1
8_8	ESL0263	SDP1
8_9	ESL0263	SDP1
12_1	ESL0353	SDP1
12_10	ESL0353	SDP1
12_2	ESL0353	SDP1
12_3	ESL0353	SDP1
12_4	ESL0353	SDP1
12_5	ESL0353	SDP1
12_6	ESL0353	SDP1
12_7	ESL0353	SDP1
12_8	ESL0353	SDP1
12_9	ESL0353	SDP1
2_1	ESL0183	SDP2
2_10	ESL0183	SDP2
2_2	ESL0183	SDP2
2_3	ESL0183	SDP2
2_4	ESL0183	SDP2
2_5	ESL0183	SDP2
2_6	ESL0183	SDP2
2_7	ESL0183	SDP2
2_8	ESL0183	SDP2
2_9	ESL0183	SDP2
13_1	ESL0354	SDP2
13_10	ESL0354	SDP2
13_2	ESL0354	SDP2
13_3	ESL0354	SDP2
13_4	ESL0354	SDP2
13_5	ESL0354	SDP2
13_6	ESL0354	SDP2
13_7	ESL0354	SDP2
13_8	ESL0354	SDP2
13_9	ESL0354	SDP2
9_1	wkb8	SDP2
9_10	wkb8	SDP2
9_2	wkb8	SDP2
9_3	wkb8	SDP2
9_4	wkb8	SDP2
9_5	wkb8	SDP2
9_6	wkb8	SDP2
9_7	wkb8	SDP2
9_8	wkb8	SDP2
9_9	wkb8	SDP2
3_1	ESL0184	SDP3
3_10	ESL0184	SDP3
3_2	ESL0184	SDP3
3_3	ESL0184	SDP3
3_4	ESL0184	SDP3
3_5	ESL0184	SDP3
3_6	ESL0184	SDP3
3_7	ESL0184	SDP3
3_8	ESL0184	SDP3
3_9	ESL0184	SDP3
6_1	ESL0260	SDP3
6_10	ESL0260	SDP3
6_2	ESL0260	SDP3
6_3	ESL0260	SDP3
6_4	ESL0260	SDP3
6_5	ESL0260	SDP3
6_6	ESL0260	SDP3
6_7	ESL0260	SDP3
6_8	ESL0260	SDP3
6_9	ESL0260	SDP3
10_1	ESL0350	SDP3
10_10	ESL0350	SDP3
10_2	ESL0350	SDP3
10_3	ESL0350	SDP3
10_4	ESL0350	SDP3
10_5	ESL0350	SDP3
10_6	ESL0350	SDP3
10_7	ESL0350	SDP3
10_8	ESL0350	SDP3
10_9	ESL0350	SDP3
5_1	ESL0186	SDP4
5_10	ESL0186	SDP4
5_2	ESL0186	SDP4
5_3	ESL0186	SDP4
5_4	ESL0186	SDP4
5_5	ESL0186	SDP4
5_6	ESL0186	SDP4
5_7	ESL0186	SDP4
5_8	ESL0186	SDP4
5_9	ESL0186	SDP4
7_1	ESL0261	SDP4
7_10	ESL0261	SDP4
7_2	ESL0261	SDP4
7_3	ESL0261	SDP4
7_4	ESL0261	SDP4
7_5	ESL0261	SDP4
7_6	ESL0261	SDP4
7_7	ESL0261	SDP4
7_8	ESL0261	SDP4
7_9	ESL0261	SDP4
11_1	ESL0351	SDP4
11_10	ESL0351	SDP4
11_2	ESL0351	SDP4
11_3	ESL0351	SDP4
11_4	ESL0351	SDP4
11_5	ESL0351	SDP4
11_6	ESL0351	SDP4
11_7	ESL0351	SDP4
11_8	ESL0351	SDP4
11_9	ESL0351	SDP4
1_1	MD	MD
1_10	MD	MD
1_2	MD	MD
1_3	MD	MD
1_4	MD	MD
1_5	MD	MD
1_6	MD	MD
1_7	MD	MD
1_8	MD	MD
1_9	MD	MD
