Sample,,formate Results,acetate Results,propanoate Results,butyrate Results,isovalerate Results,lactic acid Results,succinate Results
Acq. Date-Time,Data File,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
05.07.21 17:03,9_8.D,13486,288869,6054,2086,23546,70,12970
05.07.21 17:22,12_2.D,13643,111632,6211,72,25836,88572,1833
05.07.21 17:40,10_4.D,10471,302672,4956,45,20067,21406,15663
05.07.21 17:58,13_4.D,11594,272185,4986,2020,21327,107,8367
05.07.21 18:16,10_5.D,10427,248787,4759,57,20588,66831,5555
05.07.21 18:35,12_10.D,12460,72548,5977,120,25211,16616,2124
05.07.21 18:53,10_3.D,10472,216451,4858,48,20406,40672,4546
05.07.21 19:30,9_4.D,14846,247961,6350,2384,25472,67,5692
05.07.21 19:48,9_3.D,10868,296236,5160,934,20414,58,7969
05.07.21 20:06,12_9.D,10473,175492,4810,658,21066,26208,2240
05.07.21 20:25,13_3.D,9852,289778,5409,2603,21638,122,7284
05.07.21 21:01,11_4.D,10762,294899,5031,2487,19512,88,9460
05.07.21 21:20,13_8.D,9699,234150,4993,1690,20172,143,7757
05.07.21 21:38,12_8.D,9711,137928,5005,615,20783,47072,1694
05.07.21 21:56,9_2.D,9227,350003,4876,2552,21294,116,10873
05.07.21 22:15,13_5.D,9461,290622,4956,1399,20574,5314,6048
05.07.21 22:33,12_6.D,11710,113025,6249,763,27655,42462,2848
05.07.21 22:51,11_1.D,12915,336119,6804,2185,28984,694,3862
05.07.21 23:10,13_1.D,12988,392119,6434,1965,29948,140,12860
05.07.21 23:28,10_7.D,11920,363338,6189,832,29346,93043,16246
05.07.21 23:46,13_10.D,12433,255853,6331,1936,29035,128,16684
05.08.21 00:05,13_6.D,9855,213914,5110,1805,21635,104,5174
05.11.21 11:29,10_1.D,10405,223548,4665,735,19645,44876,6694
05.11.21 11:48,10_6.D,9569,155991,4209,609,18756,36528,2871
05.11.21 12:06,12_7.D,10307,114118,4569,661,20540,59781,2308
05.11.21 12:24,10_8.D,17130,390262,4565,852,20630,10373,24413
05.11.21 12:43,10_10.D,9547,246877,4371,755,19656,43534,9448
05.11.21 13:01,13_2.D,10208,157821,4548,1548,21254,159,6950
05.11.21 13:56,11_7.D,11654,249874,4446,570,19317,53635,8151
05.11.21 14:14,9_5.D,9442,353996,4616,1666,20172,141,3139
05.11.21 14:33,9_7.D,9595,191079,4576,1713,20438,138,6477
05.11.21 14:51,9_1.D,9130,193030,4605,2302,21437,120,10027
05.11.21 15:28,9_9.D,7502,331155,3626,448,13738,6287,6881
05.11.21 15:46,10_2.D,8999,333410,4416,583,18609,54171,11510
05.11.21 16:04,11_5.D,9569,346291,5009,1387,19882,1988,9828
05.11.21 16:23,11_2.D,9734,342912,4983,921,19842,513,7619
05.11.21 16:41,10_9.D,9210,310383,4733,541,20374,45419,9951
05.11.21 16:59,13_9.D,9598,206927,5118,2113,19293,128,16406
