Sample,Rectum_weight,species
ESL0185,35.4,species1
ESL0185,38.7,species1
ESL0185,38,species1
ESL0185,32.9,species1
ESL0185,38.6,species1
ESL0185,37.7,species1
ESL0185,37.4,species1
ESL0185,38.8,species1
ESL0185,30.9,species1
ESL0263,33.1,species1
ESL0263,18.9,species1
ESL0263,31.8,species1
ESL0263,47.3,species1
ESL0263,36.9,species1
ESL0263,31.7,species1
ESL0263,44,species1
ESL0263,35,species1
ESL0263,29.1,species1
ESL0263,40,species1
ESL0353,36.9,species1
ESL0353,34.7,species1
ESL0353,43.2,species1
ESL0353,35.3,species1
ESL0353,37.4,species1
ESL0353,30.5,species1
ESL0353,39.7,species1
ESL0353,37.1,species1
ESL0353,42.2,species1
ESL0353,37.7,species1
ESL0183,27.5,species2
ESL0183,34.4,species2
ESL0183,34.6,species2
ESL0183,43,species2
ESL0183,35.5,species2
ESL0183,38.2,species2
ESL0183,36.8,species2
ESL0183,30.3,species2
ESL0183,35.2,species2
ESL0183,46.5,species2
wkb8,32.5,species2
wkb8,42.3,species2
wkb8,36,species2
wkb8,34,species2
wkb8,39,species2
wkb8,31,species2
wkb8,32.8,species2
wkb8,40.3,species2
wkb8,42.5,species2
wkb8,32.5,species2
ESL0354,32.1,species2
ESL0354,30.1,species2
ESL0354,42.8,species2
ESL0354,40.5,species2
ESL0354,35.2,species2
ESL0354,36.2,species2
ESL0354,42.4,species2
ESL0354,36.4,species2
ESL0354,32.8,species2
ESL0354,29.4,species2
ESL0184,34.4,species3
ESL0184,25.8,species3
ESL0184,38.9,species3
ESL0184,35.3,species3
ESL0184,35.2,species3
ESL0184,35,species3
ESL0184,37.2,species3
ESL0184,24.9,species3
ESL0184,31.2,species3
ESL0184,32.9,species3
ESL0260,29.5,species3
ESL0260,35.5,species3
ESL0260,39.2,species3
ESL0260,43.2,species3
ESL0260,40.8,species3
ESL0260,41.9,species3
ESL0260,35.8,species3
ESL0260,34.9,species3
ESL0260,25.9,species3
ESL0260,31.7,species3
ESL0350,36.8,species3
ESL0350,36.3,species3
ESL0350,30.7,species3
ESL0350,38.7,species3
ESL0350,44.7,species3
ESL0350,41.7,species3
ESL0350,46.2,species3
ESL0350,37.2,species3
ESL0350,46.6,species3
ESL0350,34.1,species3
ESL0186,38.5,species4
ESL0186,30.9,species4
ESL0186,32.7,species4
ESL0186,42.6,species4
ESL0186,27.4,species4
ESL0186,28.3,species4
ESL0186,30.9,species4
ESL0186,35.4,species4
ESL0186,32.7,species4
ESL0186,28.8,species4
ESL0261,28.4,species4
ESL0261,35.8,species4
ESL0261,31.6,species4
ESL0261,33.3,species4
ESL0261,33.7,species4
ESL0261,37,species4
ESL0261,29.9,species4
ESL0261,37.8,species4
ESL0261,37,species4
ESL0261,42.6,species4
ESL0351,35.3,species4
ESL0351,33.3,species4
ESL0351,34.5,species4
ESL0351,40.3,species4
ESL0351,35.7,species4
ESL0351,41,species4
ESL0351,45.5,species4
ESL0351,38.3,species4
ESL0351,37.2,species4
ESL0351,28,species4
MD,40.9,MD
MD,38.4,MD
MD,35.8,MD
MD,31.7,MD
MD,25.6,MD
MD,35.1,MD
MD,39.9,MD
MD,39.3,MD
MD,33.2,MD
