value,group,species
8.80E+08,ESL0185,species1
6.65E+08,ESL0185,species1
8.00E+08,ESL0185,species1
7.40E+08,ESL0185,species1
1.06E+08,ESL0185,species1
6.20E+08,ESL0185,species1
3.15E+08,ESL0185,species1
2.70E+08,ESL0185,species1
2.80E+08,ESL0185,species1
2.40E+08,ESL0185,species1
1.06E+09,ESL0263,species1
6.10E+08,ESL0263,species1
3.85E+08,ESL0263,species1
6.00E+08,ESL0263,species1
6.15E+08,ESL0263,species1
7.55E+08,ESL0263,species1
6.90E+08,ESL0263,species1
6.00E+08,ESL0263,species1
2.70E+08,ESL0263,species1
6.80E+08,ESL0263,species1
6.30E+08,ESL0353,species1
4.85E+08,ESL0353,species1
3.45E+08,ESL0353,species1
1.80E+08,ESL0353,species1
2.45E+08,ESL0353,species1
3.30E+08,ESL0353,species1
4.80E+08,ESL0353,species1
4.00E+08,ESL0353,species1
6.30E+08,ESL0353,species1
7.85E+08,ESL0353,species1
8.65E+08,ESL0183,species2
6.45E+08,ESL0183,species2
6.20E+08,ESL0183,species2
3.50E+08,ESL0183,species2
5.60E+08,ESL0183,species2
4.30E+08,ESL0183,species2
3.60E+08,ESL0183,species2
2.70E+08,ESL0183,species2
3.20E+08,ESL0183,species2
7.05E+08,ESL0183,species2
4.00E+08,ESL0354,species2
4.75E+08,ESL0354,species2
5.00E+08,ESL0354,species2
1.80E+08,ESL0354,species2
6.05E+08,ESL0354,species2
1.21E+09,ESL0354,species2
5.70E+08,ESL0354,species2
3.00E+07,ESL0354,species2
7.95E+08,ESL0354,species2
1.12E+09,ESL0354,species2
7.45E+08,wkb8,species2
1.06E+09,wkb8,species2
4.55E+08,wkb8,species2
4.95E+08,wkb8,species2
9.95E+07,wkb8,species2
8.75E+08,wkb8,species2
4.50E+08,wkb8,species2
2.50E+08,wkb8,species2
6.05E+08,wkb8,species2
710000000,wkb8,species2
310000000,ESL0184,species3
435000000,ESL0184,species3
435000000,ESL0184,species3
580000000,ESL0184,species3
195000000,ESL0184,species3
5.40E+08,ESL0184,species3
625000000,ESL0184,species3
825000000,ESL0184,species3
4.30E+08,ESL0184,species3
7.25E+08,ESL0184,species3
8.85E+08,ESL0260,species3
3.40E+08,ESL0260,species3
9.05E+08,ESL0260,species3
6.15E+08,ESL0260,species3
4.20E+08,ESL0260,species3
7.40E+08,ESL0260,species3
8.95E+08,ESL0260,species3
1.35E+09,ESL0260,species3
8.10E+08,ESL0260,species3
7.45E+08,ESL0260,species3
3.75E+08,ESL0350,species3
6.90E+08,ESL0350,species3
2.70E+08,ESL0350,species3
1.36E+09,ESL0350,species3
3.40E+08,ESL0350,species3
5.70E+08,ESL0350,species3
6.70E+08,ESL0350,species3
8.15E+08,ESL0350,species3
5.85E+08,ESL0350,species3
725000000,ESL0350,species3
1275000000,ESL0186,species4
1195000000,ESL0186,species4
640000000,ESL0186,species4
670000000,ESL0186,species4
700000000,ESL0186,species4
1.51E+09,ESL0186,species4
1185000000,ESL0186,species4
1850000000,ESL0186,species4
1100000000,ESL0186,species4
1.39E+09,ESL0186,species4
545000000,ESL0261,species4
5.30E+08,ESL0261,species4
515000000,ESL0261,species4
9.15E+08,ESL0261,species4
750000000,ESL0261,species4
4.10E+08,ESL0261,species4
560000000,ESL0261,species4
6.35E+08,ESL0261,species4
385000000,ESL0261,species4
6.95E+08,ESL0261,species4
610000000,ESL0351,species4
7.60E+08,ESL0351,species4
985000000,ESL0351,species4
1.28E+09,ESL0351,species4
1070000000,ESL0351,species4
1.03E+09,ESL0351,species4
740000000,ESL0351,species4
3.80E+08,ESL0351,species4
7.15E+08,ESL0351,species4
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
1.00E+00,MD,MD
