Sample	group	SDP
75_1	ESL0350	SDP3
75_10	ESL0350	SDP3
75_2	ESL0350	SDP3
75_3	ESL0350	SDP3
75_4	ESL0350	SDP3
75_5	ESL0350	SDP3
75_6	ESL0350	SDP3
75_7	ESL0350	SDP3
75_8	ESL0350	SDP3
75_9	ESL0350	SDP3
78_1	ESL0351	SDP4
78_10	ESL0351	SDP4
78_2	ESL0351	SDP4
78_3	ESL0351	SDP4
78_4	ESL0351	SDP4
78_5	ESL0351	SDP4
78_6	ESL0351	SDP4
78_7	ESL0351	SDP4
78_8	ESL0351	SDP4
78_9	ESL0351	SDP4
69_1	ESL0353	SDP1
69_10	ESL0353	SDP1
69_2	ESL0353	SDP1
69_3	ESL0353	SDP1
69_4	ESL0353	SDP1
69_5	ESL0353	SDP1
69_6	ESL0353	SDP1
69_7	ESL0353	SDP1
69_8	ESL0353	SDP1
69_9	ESL0353	SDP1
71_1	ESL0354	SDP2
71_10	ESL0354	SDP2
71_2	ESL0354	SDP2
71_3	ESL0354	SDP2
71_4	ESL0354	SDP2
71_5	ESL0354	SDP2
71_6	ESL0354	SDP2
71_7	ESL0354	SDP2
71_8	ESL0354	SDP2
71_9	ESL0354	SDP2
MD_1	MD	MD
MD_10	MD	MD
MD_2	MD	MD
MD_3	MD	MD
MD_4	MD	MD
MD_5	MD	MD
MD_6	MD	MD
MD_7	MD	MD
MD_8	MD	MD
MD_9	MD	MD
70_1	ESL0183	SDP2
70_10	ESL0183	SDP2
70_2	ESL0183	SDP2
70_3	ESL0183	SDP2
70_4	ESL0183	SDP2
70_5	ESL0183	SDP2
70_6	ESL0183	SDP2
70_7	ESL0183	SDP2
70_8	ESL0183	SDP2
70_9	ESL0183	SDP2
73_1	ESL0184	SDP3
73_10	ESL0184	SDP3
73_2	ESL0184	SDP3
73_3	ESL0184	SDP3
73_4	ESL0184	SDP3
73_5	ESL0184	SDP3
73_6	ESL0184	SDP3
73_7	ESL0184	SDP3
73_8	ESL0184	SDP3
73_9	ESL0184	SDP3
67_1	ESL0185	SDP1
67_2	ESL0185	SDP1
67_3	ESL0185	SDP1
67_4	ESL0185	SDP1
67_5	ESL0185	SDP1
67_6	ESL0185	SDP1
67_7	ESL0185	SDP1
67_8	ESL0185	SDP1
67_9	ESL0185	SDP1
76_1	ESL0186	SDP4
76_10	ESL0186	SDP4
76_2	ESL0186	SDP4
76_3	ESL0186	SDP4
76_4	ESL0186	SDP4
76_5	ESL0186	SDP4
76_6	ESL0186	SDP4
76_7	ESL0186	SDP4
76_8	ESL0186	SDP4
76_9	ESL0186	SDP4
74_1	ESL0260	SDP3
74_10	ESL0260	SDP3
74_2	ESL0260	SDP3
74_3	ESL0260	SDP3
74_4	ESL0260	SDP3
74_5	ESL0260	SDP3
74_6	ESL0260	SDP3
74_7	ESL0260	SDP3
74_8	ESL0260	SDP3
74_9	ESL0260	SDP3
77_1	ESL0261	SDP4
77_10	ESL0261	SDP4
77_2	ESL0261	SDP4
77_3	ESL0261	SDP4
77_4	ESL0261	SDP4
77_5	ESL0261	SDP4
77_6	ESL0261	SDP4
77_7	ESL0261	SDP4
77_8	ESL0261	SDP4
77_9	ESL0261	SDP4
68_1	ESL0263	SDP1
68_10	ESL0263	SDP1
68_2	ESL0263	SDP1
68_3	ESL0263	SDP1
68_4	ESL0263	SDP1
68_5	ESL0263	SDP1
68_6	ESL0263	SDP1
68_7	ESL0263	SDP1
68_8	ESL0263	SDP1
68_9	ESL0263	SDP1
72_1	wkb8	SDP2
72_10	wkb8	SDP2
72_2	wkb8	SDP2
72_3	wkb8	SDP2
72_4	wkb8	SDP2
72_5	wkb8	SDP2
72_6	wkb8	SDP2
72_7	wkb8	SDP2
72_8	wkb8	SDP2
72_9	wkb8	SDP2
