Sample,uL_haemo,group,species
67_1,2,ESL0185,species1
67_2,4,ESL0185,species1
67_3,2,ESL0185,species1
67_4,6,ESL0185,species1
67_5,2,ESL0185,species1
67_6,4,ESL0185,species1
67_7,4,ESL0185,species1
67_8,5,ESL0185,species1
67_9,3,ESL0185,species1
67_10,1,ESL0185,species1
68_1,1,ESL0263,species1
68_2,2,ESL0263,species1
68_3,2,ESL0263,species1
68_4,6,ESL0263,species1
68_5,6,ESL0263,species1
68_6,4,ESL0263,species1
68_7,2,ESL0263,species1
68_8,0.5,ESL0263,species1
68_9,5,ESL0263,species1
68_10,6,ESL0263,species1
69_1,3,ESL0353,species1
69_2,6,ESL0353,species1
69_3,4,ESL0353,species1
69_4,2,ESL0353,species1
69_5,3,ESL0353,species1
69_6,3,ESL0353,species1
69_7,3,ESL0353,species1
69_8,2,ESL0353,species1
69_9,5,ESL0353,species1
69_10,2,ESL0353,species1
70_1,3,ESL0183,species2
70_2,6,ESL0183,species2
70_3,6,ESL0183,species2
70_4,3,ESL0183,species2
70_5,5,ESL0183,species2
70_6,3,ESL0183,species2
70_7,3,ESL0183,species2
70_8,6,ESL0183,species2
70_9,4,ESL0183,species2
70_10,4,ESL0183,species2
71_1,3,ESL0354,species2
71_2,3,ESL0354,species2
71_3,1,ESL0354,species2
71_4,4,ESL0354,species2
71_5,2,ESL0354,species2
71_6,2,ESL0354,species2
71_7,0.5,ESL0354,species2
71_8,1,ESL0354,species2
71_9,6,ESL0354,species2
71_10,3,ESL0354,species2
72_1,5,wkb8,species2
72_2,2,wkb8,species2
72_3,6,wkb8,species2
72_4,4,wkb8,species2
72_5,2,wkb8,species2
72_6,2,wkb8,species2
72_7,1,wkb8,species2
72_8,0,wkb8,species2
72_9,6,wkb8,species2
72_10,0.5,wkb8,species2
73_1,4,ESL0184,species3
73_2,3,ESL0184,species3
73_3,6,ESL0184,species3
73_4,1,ESL0184,species3
73_5,4,ESL0184,species3
73_6,0.5,ESL0184,species3
73_7,5,ESL0184,species3
73_8,0.5,ESL0184,species3
73_9,0.5,ESL0184,species3
73_10,1,ESL0184,species3
74_1,2,ESL0260,species3
74_2,0.5,ESL0260,species3
74_3,0.5,ESL0260,species3
74_4,3,ESL0260,species3
74_5,5,ESL0260,species3
74_6,2,ESL0260,species3
74_7,4,ESL0260,species3
74_8,3,ESL0260,species3
74_9,6,ESL0260,species3
74_10,1,ESL0260,species3
75_1,1,ESL0350,species3
75_2,2,ESL0350,species3
75_3,0,ESL0350,species3
75_4,2,ESL0350,species3
75_6,4,ESL0350,species3
75_7,2,ESL0350,species3
75_8,1,ESL0350,species3
75_9,1,ESL0350,species3
75_10,1,ESL0350,species3
76_1,0.5,ESL0186,species3
76_2,3,ESL0186,species4
76_3,3,ESL0186,species4
76_4,3,ESL0186,species4
76_5,1,ESL0186,species4
76_6,5,ESL0186,species4
76_7,3,ESL0186,species4
76_8,1,ESL0186,species4
76_9,1,ESL0186,species4
76_10,0.5,ESL0186,species4
77_1,2,ESL0261,species4
77_2,4,ESL0261,species4
77_3,5,ESL0261,species4
77_4,4,ESL0261,species4
77_5,1,ESL0261,species4
77_6,2,ESL0261,species4
77_7,1,ESL0261,species4
77_8,3,ESL0261,species4
77_9,2,ESL0261,species4
77_10,2,ESL0261,species4
78_1,2,ESL0351,species4
78_2,2,ESL0351,species4
78_3,3,ESL0351,species4
78_4,2,ESL0351,species4
78_5,2,ESL0351,species4
78_6,0,ESL0351,species4
78_7,3,ESL0351,species4
78_9,0.5,ESL0351,species4
78_10,1,ESL0351,species4
MD_1,1,MD,MD
MD_2,4,MD,MD
MD_3,0,MD,MD
MD_4,1,MD,MD
MD_5,0.5,MD,MD
MD_6,4,MD,MD
MD_7,3,MD,MD
MD_8,3,MD,MD
MD_9,3,MD,MD
MD_10,4,MD,MD
