Sample,,formate Results,acetate Results,propanoate Results,butyrate Results,isovalerate Results,Lactate Results,Succinate Results,Fumarate Results
Acq. Date-Time,Data File,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
10/19/2021 4:22 PM,67_1.D,68971,118802,44174,10591,34276,2509,37399,12143
10/20/2021 12:39 PM,67_2.D,53111,113987,38833,9523,17713,547,50407,4658
10/20/2021 4:33 PM,67_3.D,61914,124650,41392,9911,23049,897,20393,4531
10/20/2021 9:57 PM,67_4.D,50710,148236,37921,9357,15249,400,22711,1821
10/21/2021 1:18 AM,67_5.D,46161,126986,40980,8695,19503,2258,33301,15709
10/21/2021 4:54 AM,67_6.D,47606,210299,39685,8662,20759,1083,47346,8186
10/21/2021 12:12 PM,67_7.D,39738,142746,40621,8853,14641,699,41610,16157
10/21/2021 3:32 PM,67_8.D,40500,161877,38882,8423,16772,522,30396,10568
10/21/2021 8:58 PM,67_9.D,38589,178926,37784,8556,18095,511,22097,4912
10/22/2021 12:18 AM,67_10.D,43876,104455,37426,8495,18610,371,6627,2104
10/19/2021 4:37 PM,68_1.D,66629,89894,44232,10340,38692.47,2174,27511,11463
10/20/2021 12:54 PM,68_2.D,53911,78455,39998,9853,20132,538,17945,5888
10/20/2021 4:49 PM,68_3.D,50950,86033,37656,9286,18731,1798,41364,10180
10/20/2021 10:13 PM,68_4.D,51871,92537,38400,9480,18717,250,10377,780
10/21/2021 1:33 AM,68_5.D,46422,106170,40264,8516,20104,442,13637,864
10/21/2021 5:09 AM,68_6.D,53159,137538,40110,8733,17919,3031,51407,33345
10/21/2021 12:27 PM,68_7.D,39051,95338,37155,8226,16140,1491,17911,9833
10/21/2021 3:47 PM,68_8.D,40026,89075,38115,8355,16739,479,5184,3392
10/21/2021 9:13 PM,68_9.D,38326,184121,38047,8492,17332,602,55883,16153
10/22/2021 12:33 AM,68_10.D,40106,145633,37738,8449,17992,161,13594,1030
